,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1077,1.0,2020-01-01 00:29:53,2020-01-01 00:48:00,1.0,3.1,1.0,N,143,262,2.0,14.0,3.0,0.5,0.0,0.0,0.3,17.8,2.5
1078,1.0,2020-01-01 00:52:14,2020-01-01 01:06:58,1.0,2.8,1.0,N,263,142,1.0,12.5,3.0,0.5,2.5,0.0,0.3,18.8,2.5
1079,1.0,2020-01-01 00:29:45,2020-01-01 00:40:12,1.0,1.1,1.0,N,113,68,1.0,8.0,3.0,0.5,2.35,0.0,0.3,14.15,2.5
1080,1.0,2020-01-01 00:50:46,2020-01-01 01:23:24,1.0,4.4,1.0,N,246,151,2.0,23.5,3.0,0.5,0.0,0.0,0.3,27.3,2.5
1081,2.0,2020-01-01 00:07:10,2020-01-01 00:15:36,1.0,1.68,1.0,N,239,143,1.0,8.0,0.5,0.5,2.08,0.0,0.3,13.88,2.5
1082,2.0,2020-01-01 00:16:57,2020-01-01 00:33:54,1.0,0.95,1.0,N,143,48,1.0,11.5,0.5,0.5,3.0,0.0,0.3,18.3,2.5
1083,2.0,2020-01-01 00:42:42,2020-01-01 00:55:29,1.0,2.02,1.0,N,48,239,1.0,10.5,0.5,0.5,1.0,0.0,0.3,15.3,2.5
1084,2.0,2020-01-01 01:00:34,2020-01-01 01:03:16,1.0,0.81,1.0,N,239,238,1.0,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
1085,1.0,2020-01-01 00:09:57,2020-01-01 00:13:26,1.0,0.2,1.0,N,238,238,2.0,4.0,3.0,0.5,0.0,0.0,0.3,7.8,2.5
1086,1.0,2020-01-01 00:49:56,2020-01-01 01:01:23,1.0,3.2,1.0,N,238,48,2.0,13.0,3.0,0.5,0.0,0.0,0.3,16.8,2.5
1087,1.0,2020-01-01 00:34:14,2020-01-01 00:50:36,1.0,6.2,1.0,N,237,87,1.0,20.5,3.0,0.5,4.0,0.0,0.3,28.3,2.5
